"대분류","중분류","화면명","화면 ID","URL(Route)","접근 권한","Method","Request(핵심)","Response (JSON)","API ID","기능 명","담당자"
"공통","인증","로그인 화면","SCR-COM-001","/login","ALL","POST","{ ""pin"": ""1234"" }","{ ""staffId"": 5, ""role"": ""STAFF"" }","API-AUTH-001","직원/관리자 로그인",""
"투숙객","채팅","AI 컨시어지 대화 화면","SCR-GST-001","/guest/chat","GUEST","POST","{ ""content"": ""수건 2장 주세요"" }","{ ""messageId"": 42, ""status"": ""PROCESSING"" }","API-MSG-001","고객 메시지 전송 및 AI 요청 접수",""
"투숙객","요청 내역","내 요청 상태 확인","SCR-GST-002","/guest/status","GUEST","GET","N/A","{ ""requests"": [...] }","API-REQ-002","본인 요청 상태 조회",""
"투숙객","채팅","구버전 진입점 (리다이렉트)","SCR-GST-003","/chat","GUEST","N/A","N/A","N/A","N/A","/guest/chat으로 리다이렉트",""
"직원","태스크","직원 태스크 워크스페이스","SCR-STF-001","/staff","STAFF","GET","?status=ASSIGNED,IN_PROGRESS","{ ""tasks"": [...] }","API-STF-001","배정된 태스크 목록 조회",""
"관리자","공통","관리자 랜딩 페이지","SCR-ADM-001","/admin","ADMIN","N/A","N/A","N/A","N/A","/admin/dashboard로 리다이렉트",""
"관리자","대시보드","호텔 운영 현황 대시보드","SCR-ADM-002","/admin/dashboard","ADMIN","GET","N/A","(통계 요약 JSON)","API-ADM-001","대시보드 통계 조회",""
"관리자","태스크 보드","통합 칸반 보드","SCR-ADM-003","/admin/all-requests","ADMIN","GET","?status=PENDING,ASSIGNED...","{ ""requests"": [...] }","API-ADM-002","전체 부서 요청 조회",""
"관리자","태스크 보드","긴급 상황 집중 대응 보드","SCR-ADM-004","/admin/emergency","ADMIN","GET","N/A","{ ""emergencies"": [...] }","API-EMG-001","긴급 태스크 목록 조회",""
"관리자","인수인계","교대 인수인계 브리핑 조회","SCR-ADM-005","/admin/handover","ADMIN","GET","N/A","{ ""id"": 1, ""summary"": ""..."" }","API-HND-001","자동 생성 인수인계 조회",""
"관리자","태스크 보드","하우스키핑 모니터링 보드","SCR-ADM-006","/admin/housekeeping","ADMIN","GET","?departmentId=HK","{ ""requests"": [...] }","API-ADM-003","부서별 요청 조회 (HK)",""
"관리자","태스크 보드","시설관리 모니터링 보드","SCR-ADM-007","/admin/facility","ADMIN","GET","?departmentId=FACILITY","{ ""requests"": [...] }","API-ADM-003","부서별 요청 조회 (FACILITY)",""
"관리자","태스크 보드","컨시어지 모니터링 보드","SCR-ADM-008","/admin/concierge","ADMIN","GET","?departmentId=CONCIERGE","{ ""requests"": [...] }","API-ADM-003","부서별 요청 조회 (CONCIERGE)",""
"관리자","태스크 보드","식음료 모니터링 보드","SCR-ADM-009","/admin/fb","ADMIN","GET","?departmentId=FB","{ ""requests"": [...] }","API-ADM-003","부서별 요청 조회 (FB)",""
"관리자","태스크 보드","프론트데스크 모니터링 보드","SCR-ADM-010","/admin/front-desk","ADMIN","GET","?departmentId=FRONT","{ ""requests"": [...] }","API-ADM-003","부서별 요청 조회 (FRONT)",""
"관리자","시스템 관리","고객 대화 로그 이력 조회","SCR-ADM-011","/admin/chat-history","ADMIN","GET","?roomId=...","{ ""messages"": [...] }","API-ADM-004","전체 대화 내역 강제 조회",""
"관리자","시스템 관리","AI 라우팅/확신도 모니터링","SCR-ADM-012","/admin/ai-routing","ADMIN","GET","N/A","{ ""aiLogs"": [...] }","API-AI-001","AI 로깅 및 성능 조회",""
"관리자","시스템 관리","분류 오류 수동 정정 (Few-Shot)","SCR-ADM-013","/admin/ai-training","ADMIN","POST","{ ""inputText"": ""..."", ""correctOutput"": {...} }","{ ""id"": 1, ""status"": ""SAVED"" }","API-AI-002","정답 데이터 제출 및 학습 유도",""
"관리자","시스템 관리","AI 지식 베이스(FAQ) 등록","SCR-ADM-014","/admin/rag","ADMIN","POST","{ ""question"": ""..."", ""answer"": ""..."" }","{ ""id"": 1, ""status"": ""APPROVED"" }","API-RAG-001","RAG 도메인 지식 관리",""
"관리자","시스템 관리","직원 계정/권한 관리","SCR-ADM-015","/admin/staff-management","ADMIN","POST","{ ""name"": ""..."", ""departmentId"": ""..."" }","{ ""id"": 5, ""role"": ""STAFF"" }","API-ADM-005","직원 CRUD",""
"기타","시연 환경","가상 객실 관리 (PMS 더미)","SCR-DEV-001","/pms","ALL","GET","N/A","{ ""pmsRooms"": [...] }","API-PMS-001","더미 PMS 객실 조회",""
"기타","테스트","UI 컴포넌트 동작 확인","SCR-DEV-002","/test","ALL","N/A","N/A","N/A","N/A","로컬 컴포넌트 렌더링 확인",""
"기타","테스트","웹소켓(STOMP) 연동 테스트","SCR-DEV-003","/test/ws","ALL","WS","WS SUBSCRIBE /topic/room/{roomNo}","{ ""type"": ""MESSAGE"", ""content"": ""..."" }","API-WS-001","실시간 이벤트 수신 테스트",""
